A,NYSE,"AGILENT TECHNOLOGIES; INC.",CAPITAL GOODS,BIOTECHNOLOGY: LABORATORY ANALYTICAL INSTRUMENTS	
AA,NYSE,ALCOA CORPORATION,BASIC INDUSTRIES,ALUMINUM	
AABA,NASDAQ,ALTABA INC.,TECHNOLOGY,EDP SERVICES	
AAC,NYSE,"AAC HOLDINGS; INC.",HEALTH CARE,MEDICAL SPECIALITIES	
AAL,NASDAQ,"AMERICAN AIRLINES GROUP; INC.",TRANSPORTATION,AIR FREIGHT/DELIVERY SERVICES	
AAME,NASDAQ,ATLANTIC AMERICAN CORPORATION,FINANCE,LIFE INSURANCE	
AAN,NYSE,"AARON&#39;S;  INC.",TECHNOLOGY,DIVERSIFIED COMMERCIAL SERVICES	
AAOI,NASDAQ,"APPLIED OPTOELECTRONICS; INC.",TECHNOLOGY,SEMICONDUCTORS	
AAON,NASDAQ,"AAON; INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS	
AAP,NYSE,ADVANCE AUTO PARTS INC,CONSUMER SERVICES,OTHER SPECIALTY STORES	
AAPL,NASDAQ,APPLE INC.,TECHNOLOGY,COMPUTER MANUFACTURING	
AAT,NYSE,"AMERICAN ASSETS TRUST; INC.",CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AAV,NYSE,ADVANTAGE OIL & GAS LTD,ENERGY,OIL & GAS PRODUCTION	
AAWW,NASDAQ,ATLAS AIR WORLDWIDE HOLDINGS,TRANSPORTATION,TRANSPORTATION SERVICES	
AAXJ,NASDAQ,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN INDEX FUND,N/A,N/A	
AAXN,NASDAQ,"AXON ENTERPRISE; INC.",CAPITAL GOODS,ORDNANCE AND ACCESSORIES	
AB,NYSE,ALLIANCEBERNSTEIN HOLDING L.P.,FINANCE,INVESTMENT MANAGERS	
ABAC,NASDAQ,"RENMIN TIANLI GROUP; INC.",CONSUMER NON-DURABLES,FARMING/SEEDS/MILLING	
ABAX,NASDAQ,"ABAXIS; INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS	
ABB,NYSE,ABB LTD,CONSUMER DURABLES,ELECTRICAL PRODUCTS	
ABBV,NYSE,ABBVIE INC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
ABC,NYSE,AMERISOURCEBERGEN CORPORATION (HOLDING CO),HEALTH CARE,OTHER PHARMACEUTICALS	
ABCB,NASDAQ,AMERIS BANCORP,FINANCE,MAJOR BANKS	
ABCD,NASDAQ,"CAMBIUM LEARNING GROUP; INC.",CONSUMER SERVICES,PUBLISHING	
ABDC,NASDAQ,ALCENTRA CAPITAL CORP.,N/A,N/A	
ABEO,NASDAQ,ABEONA THERAPEUTICS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
ABEOW,NASDAQ,ABEONA THERAPEUTICS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
ABEV,NYSE,AMBEV S.A.,CONSUMER NON-DURABLES,BEVERAGES (PRODUCTION/DISTRIBUTION)	
ABG,NYSE,ASBURY AUTOMOTIVE GROUP INC,CONSUMER DURABLES,AUTOMOTIVE AFTERMARKET	
ABIL,NASDAQ,ABILITY INC.,CONSUMER DURABLES,TELECOMMUNICATIONS EQUIPMENT	
ABIO,NASDAQ,"ARCA BIOPHARMA; INC.",HEALTH CARE,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES	
